sku,category,product_type,product_description,color,frame,paper_type,size_cm,size_inches,substrate_weight,product_price,product_currency,source_country,destination_country,shipping_method,shipping_price,plus_one_shipping_price,shipping_currency,minimum_shipping_days,maximum_shipping_days,tracked_shipping
GLOBAL-FAP-8_5X11,Prints & posters,Art prints,"EMA, Enhanced Matte Art Paper, 200gsm, 22x28cm / 8.5x11""",,,EMA,22x28cm,"8.5x11""",200gsm,11.00,USD,US,US,Standard Plus,16.15,0.00,USD,1,5,Tracked
GLOBAL-FAP-8_5X11,Prints & posters,Art prints,"EMA, Enhanced Matte Art Paper, 200gsm, 22x28cm / 8.5x11""",,,EMA,22x28cm,"8.5x11""",200gsm,11.00,USD,US,US,Budget,6.85,0.00,USD,1,5,Tracked
GLOBAL-FAP-8_5X11,Prints & posters,Art prints,"EMA, Enhanced Matte Art Paper, 200gsm, 22x28cm / 8.5x11""",,,EMA,22x28cm,"8.5x11""",200gsm,11.00,USD,US,US,Express,22.65,0.00,USD,1,3,Tracked
GLOBAL-FAP-8_5X11,Prints & posters,Art prints,"EMA, Enhanced Matte Art Paper, 200gsm, 22x28cm / 8.5x11""",,,EMA,22x28cm,"8.5x11""",200gsm,11.00,USD,US,US,Overnight,35.60,0.00,USD,1,1,Tracked
GLOBAL-FAP-8_5X11,Prints & posters,Art prints,"EMA, Enhanced Matte Art Paper, 200gsm, 22x28cm / 8.5x11""",,,EMA,22x28cm,"8.5x11""",200gsm,11.00,USD,US,US,Standard,11.85,0.00,USD,1,5,Tracked
GLOBAL-HGE-8_5X11,Prints & posters,Art prints,"Hahnemühle German Etching, 22x28cm / 8.5x11""",,,HGE,22x28cm,"8.5x11""",310gsm,11.00,USD,US,US,Standard Plus,16.15,0.00,USD,1,5,Tracked
GLOBAL-HGE-8_5X11,Prints & posters,Art prints,"Hahnemühle German Etching, 22x28cm / 8.5x11""",,,HGE,22x28cm,"8.5x11""",310gsm,11.00,USD,US,US,Budget,6.85,0.00,USD,1,5,Tracked
GLOBAL-HGE-8_5X11,Prints & posters,Art prints,"Hahnemühle German Etching, 22x28cm / 8.5x11""",,,HGE,22x28cm,"8.5x11""",310gsm,11.00,USD,US,US,Express,22.65,0.00,USD,1,3,Tracked
GLOBAL-HGE-8_5X11,Prints & posters,Art prints,"Hahnemühle German Etching, 22x28cm / 8.5x11""",,,HGE,22x28cm,"8.5x11""",310gsm,11.00,USD,US,US,Overnight,35.60,0.00,USD,1,1,Tracked
GLOBAL-HGE-8_5X11,Prints & posters,Art prints,"Hahnemühle German Etching, 22x28cm / 8.5x11""",,,HGE,22x28cm,"8.5x11""",310gsm,11.00,USD,US,US,Standard,11.85,0.00,USD,1,5,Tracked
